Account,date,total_closed_pnl,mean_closed_pnl,trade_count,total_size_usd,performance_category,value,classification,sentiment_score,classification_score
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-04-21,-572.83648292,-4.619649055806452,124,180926.84,low,39.0,Fear,30,30
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-04-22,0.0,0.0,1,0.01,low,47.0,Neutral,50,50
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-04-25,34.63999,0.47452041095890407,73,60351.3,medium,60.0,Greed,70,70
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-11-12,0.0,0.0,2,10390.6,low,80.0,Extreme Greed,90,90
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-11-20,-140.76689048,-70.38344524,2,21764.32,low,83.0,Extreme Greed,90,90
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-12-01,0.0,0.0,1,199.81,low,81.0,Extreme Greed,90,90
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-12-03,0.0,0.0,1,209.94,low,76.0,Extreme Greed,90,90
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-12-05,0.0,0.0,6,61428.49,low,84.0,Extreme Greed,90,90
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-12-06,0.0,0.0,20,33151.06,low,72.0,Greed,70,70
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-12-09,483.662076,60.4577595,8,4824.8,medium,78.0,Extreme Greed,90,90
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-12-10,0.0,0.0,3,67566.11,low,78.0,Extreme Greed,90,90
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-12-11,3698.3879937199936,924.5969984299984,4,160050.2,high,74.0,Greed,70,70
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-12-13,1116.8006,42.95386923076923,26,76820.97,high,76.0,Extreme Greed,90,90
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-12-14,1023.3153137199935,1023.3153137199935,1,6591.46,high,83.0,Extreme Greed,90,90
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-12-15,6108.202965719994,218.1501059185712,28,55831.68,high,80.0,Extreme Greed,90,90
